time,rad_s
81.308,50.9115
81.312,51.4326
81.316,51.4234
81.32,51.3877
81.324,51.3573
81.328,51.3036
81.332,51.2114
81.336,51.0771
81.34,50.8976
81.344,50.6889
81.348,50.4182
81.352,50.1133
81.356,49.8441
81.36,49.6055
81.364,49.4021
81.368,49.2381
81.372,49.0334
81.376,48.9054
81.38,48.852
81.384,49.0602
81.388,49.3317
81.392,49.6321
81.396,49.7126
81.4,49.9086
81.404,50.1713
81.408,50.4309
81.412,50.3191
81.416,50.2332
81.42,50.1692
81.424,50.1148
81.428,49.9662
81.432,49.8396
81.436,50.1214
81.44,50.2916
81.444,50.4324
81.448,50.5346
81.452,50.626
81.456,50.5504
81.46,50.486
81.464,50.4217
81.468,50.3206
81.472,50.2065
81.476,50.0815
81.48,49.9471
81.484,49.8233
81.488,49.7271
81.492,49.6544
81.496,49.6018
81.5,49.5662
81.504,49.378
81.508,49.2363
81.512,49.1154
81.516,49.4579
81.52,49.7238
81.524,49.934
81.528,50.1383
81.532,50.0141
81.536,49.9454
81.54,49.8311
81.544,49.7338
81.548,49.6323
81.552,49.5179
81.556,49.3926
81.56,49.2208
81.564,49.0744
81.568,48.9496
81.572,48.769
81.576,48.6336
81.58,48.5647
81.584,48.5339
81.588,48.554
81.592,48.6374
81.596,48.7667
81.6,49.153
81.604,49.5023
81.608,49.8248
81.612,50.1277
81.616,50.3649
81.62,50.5371
81.624,50.6622
81.628,50.7014
81.632,50.6703
81.636,50.5881
81.64,50.4531
81.644,50.338
81.648,50.1193
81.652,49.8772
81.656,49.6151
81.66,49.3361
81.664,49.0984
81.668,48.8215
81.672,48.567
81.676,47.468
81.68,46.55
81.684,45.7864
81.688,45.1635
81.692,44.6605
81.696,44.2691
81.7,44.0376
81.704,44.0075
81.708,44.3039
81.712,44.8632
81.716,45.596
81.72,47.6244
81.724,50.9204
81.728,53.5891
81.732,56.1118
81.736,57.9436
81.74,59.2737
81.744,60.2396
81.748,60.9409
81.752,60.9687
81.756,60.6174
81.76,60.0022
81.764,58.9579
81.768,57.6223
81.772,56.0478
81.776,54.3162
81.78,52.6364
81.784,50.9264
81.788,49.2744
81.792,47.7738
81.796,46.7365
81.8,45.9454
81.804,45.5405
81.808,45.4554
81.812,45.9058
81.816,46.9207
81.82,48.0876
81.824,49.4852
81.828,50.9817
81.832,52.4639
81.836,53.5403
81.84,54.7519
81.844,55.6489
81.848,56.2314
81.852,56.2184
81.856,56.0401
81.86,55.6838
81.864,55.148
81.868,54.4872
81.872,53.9241
81.876,52.98
81.88,51.9712
81.884,50.9446
81.888,49.9861
81.892,49.0765
81.896,48.4314
81.9,47.8817
81.904,47.3483
81.908,47.0051
81.912,46.8519
81.916,46.6007
81.92,46.5444
81.924,46.5149
81.928,46.7265
81.932,46.9317
81.936,47.3043
81.94,47.7813
81.944,48.334
81.948,48.9246
81.952,49.5082
81.956,49.8117
81.96,50.032
81.964,50.2436
81.968,50.38
81.972,50.4275
81.976,50.4619
81.98,50.2247
81.984,50.0596
81.988,49.854
81.992,49.4745
81.996,49.0954
82.0,48.7074
82.004,48.3304
82.008,47.9812
82.012,47.7487
82.016,47.5413
82.02,47.3645
82.024,47.2789
82.028,47.1501
82.032,47.1054
82.036,47.1381
82.04,47.2478
82.044,47.4306
82.048,47.6666
82.052,47.9239
82.056,48.1968
82.06,48.5841
82.064,48.917
82.068,49.1588
82.072,49.4203
82.076,49.8338
82.08,50.4781
82.084,50.8943
82.088,51.1278
82.092,51.2801
82.096,51.3047
82.1,51.2493
82.104,51.035
82.108,50.7596
82.112,50.4228
82.116,50.0336
82.12,49.6184
82.124,49.1996
82.128,48.787
82.132,48.6955
82.136,48.6266
82.14,48.5958
82.144,48.5988
82.148,48.601
82.152,48.574
82.156,48.5417
82.16,48.5142
82.164,48.6427
82.168,48.7705
82.172,48.8632
82.176,48.9822
82.18,48.9267
82.184,48.898
82.188,48.9214
82.192,48.9384
82.196,49.0196
82.2,48.9028
82.204,48.8033
82.208,48.7278
82.212,48.6727
82.216,48.468
82.22,48.2935
82.224,48.1634
82.228,48.1453
82.232,47.935
82.236,47.765
82.24,47.6388
82.244,47.5591
82.248,47.5375
82.252,47.5723
82.256,47.6836
82.26,47.8504
82.264,48.0747
82.268,48.3235
82.272,48.3323
82.276,48.4074
82.28,48.5824
82.284,48.761
82.288,48.9079
82.292,49.0146
82.296,48.945
82.3,48.895
82.304,48.8895
82.308,48.8663
82.312,48.8186
82.316,48.6851
82.32,48.5714
82.324,48.5302
82.328,48.4951
82.332,48.4559
82.336,48.3389
82.34,48.23
82.344,48.1928
82.348,48.1798
82.352,48.1315
82.356,48.1089
82.36,48.2281
82.364,48.3834
82.368,48.5306
82.372,48.6375
82.376,48.7151
82.38,48.8058
82.384,48.9062
82.388,49.0134
82.392,49.0913
82.396,49.0754
82.4,49.0619
82.404,49.1265
82.408,49.124
82.412,49.0383
82.416,48.9652
82.42,48.8937
82.424,49.0732
82.428,49.1863
82.432,49.2169
82.436,49.1546
82.44,49.1015
82.444,49.0656
82.448,49.0442
82.452,48.9332
